DATA LENGTH(steps) :
4798
STEP LENGTH(sec) :
0.005000

dPCz,         PEL_Q0,      PEL_Qx,      PEL_Qy,      PEL_Qz,      WST,         RSP,         RSR,         RSY,         REB,         RWY,         RWP,         LSP,         LSR,         LSY,         LEB,         LWY,         LWP,         NKY,         NK1,         NK2,         RF1,         RF2,         RF3,         RF4,         RF5,         LF1,         LF2,         LF3,         LF4,         LF5
-0.000044    1.000000     -0.000002    -0.000512    -0.000006    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  0.000000     -127.000000  -127.000000  -127.000000  -127.000000 
-0.000048    1.000000     -0.000002    -0.000560    -0.000006    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  0.000000     -127.000000  -127.000000  -127.000000  -127.000000 
-0.000051    1.000000     -0.000002    -0.000608    -0.000007    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  0.000000     -127.000000  -127.000000  -127.000000  -127.000000 
-0.000055    1.000000     -0.000002    -0.000662    -0.000007    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     -63.500000   -127.000000  -127.000000  -127.000000  -127.000000  -63.500000   -127.000000  -127.000000  -127.000000  -127.000000 
-0.000059    1.000000     -0.000002    -0.000715    -0.000008    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000 
-0.000063    1.000000     -0.000001    -0.000773    -0.000008    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000 
-0.000067    1.000000     -0.000001    -0.000832    -0.000008    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000 
-0.000072    1.000000     -0.000000    -0.000895    -0.000008    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000 
-0.000077    1.000000     0.000000     -0.000959    -0.000009    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000 
-0.000082    0.999999     0.000001     -0.001028    -0.000009    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000 
-0.000087    0.999999     0.000002     -0.001097    -0.000009    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000 
-0.000092    0.999999     0.000003     -0.001171    -0.000009    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000 
-0.000098    0.999999     0.000004     -0.001245    -0.000010    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000 
-0.000103    0.999999     0.000006     -0.001325    -0.000010    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000 
-0.000109    0.999999     0.000007     -0.001404    -0.000010    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000 
-0.000116    0.999999     0.000009     -0.001488    -0.000010    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000 
